music,usersWhoAlsoLiked,accumulatedListens
Style,6,191
Cruel Summer,7,177
Levitating,7,165
Midnight City,6,163
bad guy,6,158
Starboy,6,148
Rain On Me,6,143
Don't Start Now,6,138
Save Your Tears,6,136
Outro,5,135
Bad Romance,5,132
Uptown Funk,6,118
The Less I Know the Better,3,90
Wait,3,76
Adore You,3,75
One More Time,3,75
Poker Face,3,71
Anti-Hero,4,68
Physical,4,66
Get Lucky,4,60
As It Was,4,54
Happier Than Ever,2,40
Ocean Eyes,1,40
Instant Crush,1,36
Watermelon Sugar,2,30
Borderline,2,26
Treasure,1,23
Locked Out of Heaven,1,18
Let It Happen,1,11
